商品编码,品名,监管条件,检验检疫类别,法定单位,政策依据
01061110,改良种用,AFEB,PQ,千克/只,税委会公告2026年第5号
01061190,其他,AFEB,PQ,千克/只,税委会公告2026年第5号
01061211,改良种用,AFEB,PQ,千克/只,税委会公告2026年第5号
01061219,其他,AFEB,PQ,千克/只,税委会公告2026年第5号
01061221,改良种用,AFEB,PQ,千克/只,税委会公告2026年第5号
01061229,其他,ABEF,PQ,千克/只,税委会公告2026年第5号
01061310,改良种用,ABFE,PQ,千克/只,税委会公告2026年第5号
01061390,其他,AFEB,PRQ,千克/只,税委会公告2026年第5号
01061410,改良种用,ABEF,PQ,千克/只,税委会公告2026年第5号
01061490,其他,AFEB,PRQ,千克/只,税委会公告2026年第5号
01061910,改良种用,ABFE,PQ,千克/只,税委会公告2026年第5号
01061990,其他,AFEB,PRQ,千克/只,税委会公告2026年第5号
01062011,鳄鱼苗,AFEB,PQ,千克/只,税委会公告2026年第5号
01062019,其他,FEAB,PQ,千克/只,税委会公告2026年第5号
01062020,食用,AB,PRQ,千克/只,税委会公告2026年第5号
01062090,其他,FEAB,PQ,千克/只,税委会公告2026年第5号
01063110,改良种用,AFEB,PQ,千克/只,税委会公告2026年第5号
01063190,其他,ABFE,PQ,千克/只,税委会公告2026年第5号
01063210,改良种用,ABFE,PQ,千克/只,税委会公告2026年第5号
01063290,其他,ABFE,PQ,千克/只,税委会公告2026年第5号
01063310,改良种用,ABFE,PQ,千克/只,税委会公告2026年第5号
01063390,其他,ABFE,PRQ,千克/只,税委会公告2026年第5号
01063910,改良种用,ABFE,PQ,千克/只,税委会公告2026年第5号
01063921,乳鸽,AB,PRQ,千克/只,税委会公告2026年第5号
01063923,野鸭,FEAB,PRQ,千克/只,税委会公告2026年第5号
01063929,其他,ABFE,PRQ,千克/只,税委会公告2026年第5号
01063990,其他,ABFE,PRQ,千克/只,税委会公告2026年第5号
01064110,改良种用,AB,PQ,千克/只,税委会公告2026年第5号
01064190,其他,AB,PQ,千克/只,税委会公告2026年第5号
01064910,改良种用,ABFE,PQ,千克/只,税委会公告2026年第5号
01064990,其他,ABFE,PQ,千克/只,税委会公告2026年第5号
01069011,蛙苗,ABFE,PQ,千克/只,税委会公告2026年第5号
01069019,其他,ABFE,PQ,千克/只,税委会公告2026年第5号
01069090,其他,ABFE,PQ,千克/只,税委会公告2026年第5号
02011000,整头及半头,4ABEFx,PRQS,千克,税委会公告2026年第5号
02012000,带骨肉,47ABEFxxy,PRQ,千克,税委会公告2026年第5号
02013000,去骨肉,47ABEFxy,PRQS,千克,税委会公告2026年第5号
02021000,整头及半头,4ABEFx,PRQS,千克,税委会公告2026年第5号
02022000,带骨肉,47ABEFxy,PRQS,千克,税委会公告2026年第5号
02023000,去骨肉,47ABEFxy,PRQS,千克,税委会公告2026年第5号
02031110,乳猪,4ABEFx,PRQS,千克,税委会公告2026年第5号
02031190,其他,4ABEFx,PRQS,千克,税委会公告2026年第5号
02031200,带骨的前腿、后腿及其肉块,47ABEFx,PRQS,千克,税委会公告2026年第5号
02031900,其他,47ABEFx,PRQS,千克,税委会公告2026年第5号
02032110,乳猪,4ABEFx,PRQS,千克,税委会公告2026年第5号
02032190,其他,47ABEFx,PRQS,千克,税委会公告2026年第5号
02032200,带骨的前腿、后腿及其肉块,47ABEFx,PRQS,千克,税委会公告2026年第5号
02032900,其他,47ABEFx,PRQS,千克,税委会公告2026年第5号
02041000,鲜或冷的整头及半头羔羊,7AB,PRQS,千克,税委会公告2026年第5号
02042100,整头及半头,7AB,PRQ,千克,税委会公告2026年第5号
02042200,带骨肉,7AB,PRQS,千克,税委会公告2026年第5号
02042300,去骨肉,7AB,PRQS,千克,税委会公告2026年第5号
02043000,冻的整头及半头羔羊,7AB,PRQS,千克,税委会公告2026年第5号
02044100,整头及半头,7AB,PRQS,千克,税委会公告2026年第5号
02044200,带骨肉,7AB,PRQS,千克,税委会公告2026年第5号
02044300,去骨肉,7AB,PRQS,千克,税委会公告2026年第5号
02045000,山羊肉,7AB,PRQS,千克,税委会公告2026年第5号
02050000,鲜、冷、冻马、驴、骡肉,ABFE,PRQS,千克,税委会公告2026年第5号
02061000,鲜、冷牛杂碎,4ABx,PRQS,千克,税委会公告2026年第5号
02062100,舌,47ABx,PRQS,千克,税委会公告2026年第5号
02062200,肝,47ABx,PRQS,千克,税委会公告2026年第5号
02062900,其他,47ABx,PRQS,千克,税委会公告2026年第5号
02063000,鲜、冷猪杂碎,4ABx,PRQS,千克,税委会公告2026年第5号
02064100,肝,47ABx,PRQS,千克,税委会公告2026年第5号
02064900,其他,47ABx,PRQS,千克,税委会公告2026年第5号
02068000,其他鲜或冷杂碎,AB,PRQS,千克,税委会公告2026年第5号
02069000,其他冻杂碎,7AB,PRQS,千克,税委会公告2026年第5号
02071100,整只，鲜或冷的,4xAB,PRQS,千克,税委会公告2026年第5号
02071200,整只，冻的,4x7AB,PRQS,千克,税委会公告2026年第5号
02071311,带骨的,4xAB,PRQS,千克,税委会公告2026年第5号
02071319,其他,4xAB,PRQS,千克,税委会公告2026年第5号
02071321,翼（不包括翼尖）,4xAB,PRQS,千克,税委会公告2026年第5号
02071329,其他,AB4x,PRQS,千克,税委会公告2026年第5号
02071411,带骨的,7AB4x,PRQS,千克,税委会公告2026年第5号
02071419,其他,7AB4x,PRQS,千克,税委会公告2026年第5号
02071421,翼（不包括翼尖）,7AB4x,PRQS,千克,税委会公告2026年第5号
02071422,鸡爪,7AB4x,PRQS,千克,税委会公告2026年第5号
02071429,其他,7AB4x,PRQS,千克,税委会公告2026年第5号
02072400,整只，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02072500,整只，冻的,AB,PRQS,千克,税委会公告2026年第5号
02072600,块及杂碎，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02072700,块及杂碎，冻的,AB,PRQS,千克,税委会公告2026年第5号
02074100,整只，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02074200,整只，冻的,AB,PRQS,千克,税委会公告2026年第5号
02074300,肥肝，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02074400,其他，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02074500,其他，冻的,AB,PRQS,千克,税委会公告2026年第5号
02075100,整只，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02075200,整只，冻的,AB,PRQS,千克,税委会公告2026年第5号
02075300,肥肝，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02075400,其他，鲜或冷的,AB,PRQS,千克,税委会公告2026年第5号
02075500,其他，冻的,AB,PRQS,千克,税委会公告2026年第5号
02076000,珍珠鸡,AB,PRQS,千克,税委会公告2026年第5号
02081010,鲜、冷兔肉，兔头除外,AB,PRQS,千克,税委会公告2026年第5号
02081020,冻兔肉，兔头除外,AB,PRQS,千克,税委会公告2026年第5号
02081090,其他,ABFE,PRQS,千克,税委会公告2026年第5号
02083000,灵长目的,ABFE,PRQS,千克,税委会公告2026年第5号
02084000,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,ABFE,PRQS,千克,税委会公告2026年第5号
02085000,爬行动物（包括蛇及龟鳖）的,ABFE,PRQS,千克,税委会公告2026年第5号
02086000,骆驼及其他骆驼科动物的,ABFE,PRQS,千克,税委会公告2026年第5号
02089010,乳鸽的,AB,PRQS,千克,税委会公告2026年第5号
02089090,其他,ABFE,PRQS,千克,税委会公告2026年第5号
02091000,猪的,AB,PRQ,千克,税委会公告2026年第5号
02099000,其他,AB,PRQ,千克,税委会公告2026年第5号
02101110,带骨的腿,ABFE,PRQS,千克,税委会公告2026年第5号
02101190,其他,ABFE,PRQS,千克,税委会公告2026年第5号
02101200,腹肉（五花肉）,ABFE,PRQS,千克,税委会公告2026年第5号
02101900,其他,ABFE,PRQS,千克,税委会公告2026年第5号
02102000,牛肉,ABFE,PRQS,千克,税委会公告2026年第5号
02109100,灵长目的,ABFE,PRQS,千克,税委会公告2026年第5号
02109200,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,ABFE,PRQS,千克,税委会公告2026年第5号
02109300,爬行动物（包括蛇及龟鳖）的,ABFE,PRQS,千克,税委会公告2026年第5号
02109900,其他,ABFE,PRQS,千克,税委会公告2026年第5号
03011100,淡水鱼,ABFE,PQ,千克,税委会公告2026年第5号
03011900,其他,ABFE,PQ,千克,税委会公告2026年第5号
03019110,鱼苗,AB,PQ,千克,税委会公告2026年第5号
03019190,其他,AB,PRQ,千克,税委会公告2026年第5号
03019210,鱼苗,ABE,PNQ,千克,税委会公告2026年第5号
03019290,其他,ABE,PRQS,千克,税委会公告2026年第5号
03019310,鱼苗,AB,PQ,千克,税委会公告2026年第5号
03019390,其他,AB,PRQS,千克,税委会公告2026年第5号
03019410,鱼苗,AB,PQ,千克,税委会公告2026年第5号
03019491,大西洋蓝鳍金枪鱼,AB,PNQ,千克,税委会公告2026年第5号
03019492,太平洋蓝鳍金枪鱼,AB,PNQ,千克,税委会公告2026年第5号
03019510,鱼苗,AB,PQ,千克,税委会公告2026年第5号
03019590,其他,AB,PNQ,千克,税委会公告2026年第5号
03019911,鲈鱼,AB,PQ,千克,税委会公告2026年第5号
03019912,鲟鱼,ABFE,PQ,千克,税委会公告2026年第5号
03019919,其他,ABFE,PQ,千克,税委会公告2026年第5号
03019991,罗非鱼,AB,PRQS,千克,税委会公告2026年第5号
03019992,鲀,AB,PNQ,千克,税委会公告2026年第5号
03019993,其他鲤科鱼,ABFE,PNQ,千克,税委会公告2026年第5号
03019999,其他,ABFE,PNQ,千克,税委会公告2026年第5号
03021100,鳟鱼（河鳟、虹鳟、克拉克大麻哈鱼、阿瓜大麻哈鱼、吉雨大麻哈鱼、亚利桑那大麻哈鱼、金腹大麻哈鱼）,AB,PRQS,千克,税委会公告2026年第5号
03021300,大麻哈鱼［红大麻哈鱼、细鳞大麻哈鱼、大麻哈鱼（种）、大鳞大麻哈鱼、银大麻哈鱼、马苏大麻哈鱼、玫瑰大麻哈鱼］,ABU,PRQS,千克,税委会公告2026年第5号
03021410,大西洋鲑鱼,AB,PRQS,千克,税委会公告2026年第5号
03021420,多瑙哲罗鱼,AB,PRQS,千克,税委会公告2026年第5号
03021900,其他,AB,PRQS,千克,税委会公告2026年第5号
03022100,庸鲽鱼（马舌鲽、庸鲽、狭鳞庸鲽）,ABU,PRQS,千克,税委会公告2026年第5号
03022200,鲽鱼（鲽）,AB,PRQS,千克,税委会公告2026年第5号
03022300,鳎鱼（鳎属）,AB,PRQS,千克,税委会公告2026年第5号
03022400,大菱鲆（瘤棘鲆）,AB,PRQS,千克,税委会公告2026年第5号
03022900,其他,ABU,PRQS,千克,税委会公告2026年第5号
03023100,长鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03023200,黄鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03023300,鲣,AB,PRQS,千克,税委会公告2026年第5号
03023400,大眼金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03023510,大西洋蓝鳍金枪鱼,ABU,PRQS,千克,税委会公告2026年第5号
03023520,太平洋蓝鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03023600,南方蓝鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03023900,其他,AB,PRQS,千克,税委会公告2026年第5号
03024100,鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,ABU,PRQS,千克,税委会公告2026年第5号
03024200,鳀鱼（鳀属）,AB,PRQS,千克,税委会公告2026年第5号
03024300,沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,AB,PRQS,千克,税委会公告2026年第5号
03024400,鲭鱼［大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）］,AB,PRQS,千克,税委会公告2026年第5号
03024500,对称竹荚鱼、新西兰竹荚鱼及竹荚鱼（竹荚鱼属）,AB,PRQS,千克,税委会公告2026年第5号
03024600,军曹鱼,AB,PRQS,千克,税委会公告2026年第5号
03024700,剑鱼,ABU,PRQS,千克,税委会公告2026年第5号
03024910,银鲳（鲳属）,AB,PRQS,千克,税委会公告2026年第5号
03024990,其他,AB,PRQS,千克,税委会公告2026年第5号
03025100,鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,AB,PRQS,千克,税委会公告2026年第5号
03025200,黑线鳕鱼（黑线鳕）,AB,PRQS,千克,税委会公告2026年第5号
03025300,绿青鳕鱼,AB,PRQS,千克,税委会公告2026年第5号
03025400,狗鳕鱼（无须鳕属、长鳍鳕属）,AB,PRQS,千克,税委会公告2026年第5号
03025500,阿拉斯加狭鳕鱼,ABU,PRQS,千克,税委会公告2026年第5号
03025600,蓝鳕鱼（小鳍鳕、南蓝鳕）,AB,PRQS,千克,税委会公告2026年第5号
03025900,其他,AB,PRQS,千克,税委会公告2026年第5号
03027100,罗非鱼（口孵非鲫属）,AB,PRQS,千克,税委会公告2026年第5号
03027200,鲶鱼[（鱼芒）鲶属、鲶属、胡鲶属、真鮰属],AB,PRQS,千克,税委会公告2026年第5号
03027300,鲤科鱼（鲤属、鲫属、草鱼、鲢属、鲮属、青鱼、卡特拉鲃、野鲮属、哈氏纹唇鱼、何氏细须鲃、鲂属）,AB,PRQS,千克,税委会公告2026年第5号
03027400,鳗鱼（鳗鲡属）,ABE,PRQS,千克,税委会公告2026年第5号
03027900,其他,AB,PRQS,千克,税委会公告2026年第5号
03028100,角鲨及其他鲨鱼,ABEF,PRQS,千克,税委会公告2026年第5号
03028200,魟鱼及鳐鱼（鳐科）,AB,PRQS,千克,税委会公告2026年第5号
03028300,南极犬牙鱼（南极犬牙鱼属）,ABU,PRQS,千克,税委会公告2026年第5号
03028400,尖吻鲈鱼（舌齿鲈属）,AB,PRQS,千克,税委会公告2026年第5号
03028500,菱羊鲷（鲷科）,AB,PRQS,千克,税委会公告2026年第5号
03028910,带鱼,AB,PRQS,千克,税委会公告2026年第5号
03028920,黄鱼,AB,PRQS,千克,税委会公告2026年第5号
03028930,鲳鱼（银鲳除外）,AB,PRQS,千克,税委会公告2026年第5号
03028940,鲀,AB,PRQS,千克,税委会公告2026年第5号
03028990,其他,ABFE,PRQS,千克,税委会公告2026年第5号
03029100,鱼肝、鱼卵及鱼精,ABFE,PRQS,千克,税委会公告2026年第5号
03029200,鲨鱼翅,ABFE,PRQS,千克,税委会公告2026年第5号
03029900,其他,ABFE,PRQS,千克,税委会公告2026年第5号
03031100,红大麻哈鱼,ABU,PRQS,千克,税委会公告2026年第5号
03031200,其他大麻哈鱼［细鳞大麻哈鱼、大麻哈鱼（种）、大鳞大麻哈鱼、银大麻哈鱼、马苏大麻哈鱼、玫瑰大麻哈鱼］,ABU,PRQS,千克,税委会公告2026年第5号
03031310,大西洋鲑鱼,AB,PRQS,千克,税委会公告2026年第5号
03031320,多瑙哲罗鱼,AB,PRQS,千克,税委会公告2026年第5号
03031400,鳟鱼（河鳟、虹鳟、克拉克大麻哈鱼、阿瓜大麻哈鱼、吉雨大麻哈鱼、亚利桑那大麻哈鱼、金腹大麻哈鱼）,AB,PRQS,千克,税委会公告2026年第5号
03031900,其他,AB,PRQS,千克,税委会公告2026年第5号
03032300,罗非鱼（口孵非鲫属）,AB,PRQS,千克,税委会公告2026年第5号
03032400,鲶鱼[（鱼芒）鲶属、鲶属、胡鲶属、真鮰属],AB,PRQS,千克,税委会公告2026年第5号
03032500,鲤科鱼（鲤属、鲫属、草鱼、鲢属、鲮属、青鱼、卡特拉鲃、野鲮属、哈氏纹唇鱼、何氏细须鲃、鲂属）,AB,PRQS,千克,税委会公告2026年第5号
03032600,鳗鱼（鳗鲡属）,ABE,PRQS,千克,税委会公告2026年第5号
03032900,其他,AB,PRQS,千克,税委会公告2026年第5号
03033110,马舌鲽（格陵兰庸鲽鱼）,ABU,PRQS,千克,税委会公告2026年第5号
03033190,其他,ABU,PRQS,千克,税委会公告2026年第5号
03033200,鲽鱼（鲽）,AB,PRQS,千克,税委会公告2026年第5号
03033300,鳎鱼（鳎属）,AB,PRQS,千克,税委会公告2026年第5号
03033400,大菱鲆（瘤棘鲆）,AB,PRQS,千克,税委会公告2026年第5号
03033900,其他,ABU,PRQS,千克,税委会公告2026年第5号
03034100,长鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03034200,黄鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03034300,鲣,AB,PRQS,千克,税委会公告2026年第5号
03034400,大眼金枪鱼,ABU,PRQS,千克,税委会公告2026年第5号
03034510,大西洋蓝鳍金枪鱼,ABU,PRQS,千克,税委会公告2026年第5号
03034520,太平洋蓝鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03034600,南方蓝鳍金枪鱼,AB,PRQS,千克,税委会公告2026年第5号
03034900,其他,AB,PRQS,千克,税委会公告2026年第5号
03035100,鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,ABU,PRQS,千克,税委会公告2026年第5号
03035300,沙丁鱼（沙丁鱼、沙瑙鱼属）、小沙丁鱼属、黍鲱或西鲱,AB,PRQS,千克,税委会公告2026年第5号
03035400,鲭鱼［大西洋鲭、澳洲鲭（鲐）、日本鲭（鲐）］,AB,PRQS,千克,税委会公告2026年第5号
03035500,对称竹荚鱼、新西兰竹荚鱼及竹荚鱼（竹荚鱼属）,AB,PRQS,千克,税委会公告2026年第5号
03035600,军曹鱼,AB,PRQS,千克,税委会公告2026年第5号
03035700,剑鱼,ABU,PRQS,千克,税委会公告2026年第5号
03035910,银鲳（鲳属）,AB,PRQS,千克,税委会公告2026年第5号
03035990,其他冻毛鳞鱼，但食用杂碎除外,AB,PRQS,千克,税委会公告2026年第5号
03036300,鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,AB,PRQS,千克,税委会公告2026年第5号
03036400,黑线鳕鱼（黑线鳕）,AB,PRQS,千克,税委会公告2026年第5号
03036500,绿青鳕鱼,AB,PRQS,千克,税委会公告2026年第5号
03036600,狗鳕鱼（无须鳕属、长鳍鳕属）,AB,PRQS,千克,税委会公告2026年第5号
03036700,阿拉斯加狭鳕鱼,ABU,PRQS,千克,税委会公告2026年第5号
03036800,蓝鳕鱼（小鳍鳕、南蓝鳕）,AB,PRQS,千克,税委会公告2026年第5号
03036900,其他,AB,PRQS,千克,税委会公告2026年第5号
03038100,角鲨及其他鲨鱼,ABFE,PRQS,千克,税委会公告2026年第5号
03038200,魟鱼及鳐鱼（鳐科）,AB,PRQS,千克,税委会公告2026年第5号
03038300,南极犬牙鱼（南极犬牙鱼属）,ABU,PRQS,千克,税委会公告2026年第5号
03038400,尖吻鲈鱼（舌齿鲈属）,AB,PRQS,千克,税委会公告2026年第5号
03038910,带鱼,AB,PRQS,千克,税委会公告2026年第5号
03038920,黄鱼,AB,PRQS,千克,税委会公告2026年第5号
03038930,鲳鱼（银鲳除外）,AB,PRQS,千克,税委会公告2026年第5号
03038990,其他冻平鲉属鱼,ABFE,PRQS,千克,税委会公告2026年第5号
03039100,鱼肝、鱼卵及鱼精,ABFE,PRQS,千克,税委会公告2026年第5号
03039200,鲨鱼翅,ABFE,PRQS,千克,税委会公告2026年第5号
03039900,其他,ABFE,PRQS,千克,税委会公告2026年第5号
03043100,罗非鱼（口孵非鲫属）,AB,PRQS,千克,税委会公告2026年第5号
03043200,鲶鱼[（鱼芒）鲶属、鲶属、胡鲶属、真鮰属],AB,PRQS,千克,税委会公告2026年第5号
03043300,尼罗河鲈鱼（尼罗尖吻鲈）,AB,PRQS,千克,税委会公告2026年第5号
03043900,其他,ABE,PRQS,千克,税委会公告2026年第5号
03044100,大麻哈鱼［红大麻哈鱼、细鳞大麻哈鱼、大麻哈鱼（种）、大鳞大麻哈鱼、银大麻哈鱼、马苏大麻哈鱼、玫瑰大麻哈鱼］、大西洋鲑鱼及多瑙哲罗鱼,AB,PRQS,千克,税委会公告2026年第5号
03044200,鳟鱼（河鳟、虹鳟、克拉克大麻哈鱼、阿瓜大麻哈鱼、吉雨大麻哈鱼、亚利桑那大麻哈鱼、金腹大麻哈鱼）,AB,PRQS,千克,税委会公告2026年第5号
03044300,比目鱼（鲽科、鲆科、舌鳎科、鳎科、菱鲆科、刺鲆科）,AB,PRQS,千克,税委会公告2026年第5号
03044400,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,AB,PRQS,千克,税委会公告2026年第5号
03044500,剑鱼,ABU,PRQS,千克,税委会公告2026年第5号
03044600,南极犬牙鱼（南极犬牙鱼属）,ABU,PRQS,千克,税委会公告2026年第5号
03044700,角鲨及其他鲨鱼,ABFE,PRQS,千克,税委会公告2026年第5号
03044800,魟鱼及鳐鱼（鳐科）,ABFE,PRQS,千克,税委会公告2026年第5号
03044900,其他,ABFE,PRQS,千克,税委会公告2026年第5号
03045100,罗非鱼（口孵非鲫属）、鲶鱼[（鱼芒）鲶属、鲶属、胡鲶属、真鮰属]、鲤科鱼（鲤属、鲫属、草鱼、鲢属、鲮属、青鱼、卡特拉鲃、野鲮属、哈氏纹唇鱼、何氏细须鲃、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,ABE,PRQS,千克,税委会公告2026年第5号
03045200,鲑科鱼,AB,PRQS,千克,税委会公告2026年第5号
03045300,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼,AB,PRQS,千克,税委会公告2026年第5号
03045400,剑鱼,ABU,PRQS,千克,税委会公告2026年第5号
03045500,南极犬牙鱼（南极犬牙鱼属）,ABU,PRQS,千克,税委会公告2026年第5号
03045600,角鲨及其他鲨鱼,ABEF,PRQS,千克,税委会公告2026年第5号
03045700,魟鱼及鳐鱼（鳐科）,ABEF,PRQS,千克,税委会公告2026年第5号
03045900,其他,ABEF,PRQS,千克,税委会公告2026年第5号
03046100,罗非鱼（口孵非鲫属）,AB,PRQS,千克,税委会公告2026年第5号
03046211,斑点叉尾鮰鱼,AB,PRQS,千克,税委会公告2026年第5号
03046219,其他,AB,PRQS,千克,税委会公告2026年第5号
03046290,其他,AB,PRQS,千克,税委会公告2026年第5号
03046300,尼罗河鲈鱼（尼罗尖吻鲈）,AB,PRQS,千克,税委会公告2026年第5号
03046900,其他,ABE,PRQS,千克,税委会公告2026年第5号
03047100,鳕鱼（大西洋鳕鱼、格陵兰鳕鱼、太平洋鳕鱼）,AB,PRQS,千克,税委会公告2026年第5号
03047200,黑线鳕鱼（黑线鳕）,AB,PRQS,千克,税委会公告2026年第5号
03047300,绿青鳕鱼,AB,PRQS,千克,税委会公告2026年第5号
03047400,狗鳕鱼（无须鳕属、长鳍鳕属）,AB,PRQS,千克,税委会公告2026年第5号
03047500,阿拉斯加狭鳕鱼,AB,PRQS,千克,税委会公告2026年第5号
03047900,其他,AB,PRQS,千克,税委会公告2026年第5号
03048100,大麻哈鱼［红大麻哈鱼、细鳞大麻哈鱼、大麻哈鱼（种）、大鳞大麻哈鱼、银大麻哈鱼、马苏大麻哈鱼、玫瑰大麻哈鱼］、大西洋鲑鱼及多瑙哲罗鱼,AB,PRQS,千克,税委会公告2026年第5号
03048200,鳟鱼（河鳟、虹鳟、克拉克大麻哈鱼、阿瓜大麻哈鱼、吉雨大麻哈鱼、亚利桑那大麻哈鱼、金腹大麻哈鱼）,AB,PRQS,千克,税委会公告2026年第5号
03048300,比目鱼（鲽科、鲆科、舌鳎科、鳎科、菱鲆科、刺鲆科）,AB,PRQS,千克,税委会公告2026年第5号
03048400,剑鱼,ABU,PRQS,千克,税委会公告2026年第5号
03048500,南极犬牙鱼（南极犬牙鱼属）,ABU,PRQS,千克,税委会公告2026年第5号
03048600,鲱鱼（大西洋鲱鱼、太平洋鲱鱼）,AB,PRQS,千克,税委会公告2026年第5号
03048700,金枪鱼（金枪鱼属）、鲣,AB,PRQS,千克,税委会公告2026年第5号
03048800,角鲨、其他鲨鱼、魟鱼及鳐鱼（鳐科）,ABEF,PRQS,千克,税委会公告2026年第5号
03048900,其他,ABEF,PRQS,千克,税委会公告2026年第5号
03049100,剑鱼,ABU,PRQS,千克,税委会公告2026年第5号
03049200,南极犬牙鱼（南极犬牙鱼属）,ABU,PRQS,千克,税委会公告2026年第5号
03049300,罗非鱼（口孵非鲫属）、鲶鱼[（鱼芒）鲶属、鲶属、胡鲶属、真鮰属]、鲤科鱼（鲤属、鲫属、草鱼、鲢属、鲮属、青鱼、卡特拉鲃、野鲮属、哈氏纹唇鱼、何氏细须鲃、鲂属）、鳗鱼（鳗鲡属）、尼罗河鲈鱼（尼罗尖吻鲈）及黑鱼（鳢属）,ABE,PRQS,千克,税委会公告2026年第5号
03049400,阿拉斯加狭鳕鱼,AB,PRQS,千克,税委会公告2026年第5号
03049500,犀鳕科、多丝真鳕科、鳕科、长尾鳕科、黑鳕科、无须鳕科、深海鳕科及南极鳕科鱼，阿拉斯加狭鳕鱼除外,AB,PRQS,千克,税委会公告2026年第5号
03049600,角鲨及其他鲨鱼,ABFE,PRQS,千克,税委会公告2026年第5号
