商品编码,品名,序号,要素名,真实示例值,在目录要素内
02011000,整头及半头,11,加工程度（精修、粗修等）,精修,是
02012000,带骨肉,1,制作或保存方法（鲜、冷）,冷藏,是
02012000,带骨肉,2,加工方法（带骨、去骨）,带骨,是
02012000,带骨肉,3,牛肉部位（如眼肉、腱子肉等）,腱子肉,是
02012000,带骨肉,4,包装规格,10千克/箱,是
02012000,带骨肉,5,英文品名,chilled beef with bones and wild,是
02012000,带骨肉,6,品牌（中文或外文名称）,中文：××（英文：××）,是
02012000,带骨肉,7,厂号,厂号：××,是
02012000,带骨肉,8,级别（A级、B级等）,A级,是
02012000,带骨肉,9,饲养方式（草饲、谷饲等）,草饲,是
02012000,带骨肉,10,签约日期,20201012,是
02012000,带骨肉,11,加工程度（精修、粗修等）,精修,是
02013000,去骨肉,1,制作或保存方法（鲜、冷）,冷藏,是
02013000,去骨肉,2,加工方法（带骨、去骨）,带骨,是
02013000,去骨肉,3,牛肉部位（如眼肉、腱子肉等）,腱子肉,是
02013000,去骨肉,4,包装规格,10千克/箱,是
02013000,去骨肉,5,英文品名,chilled beef with bones and wild,是
02013000,去骨肉,6,品牌（中文或外文名称）,中文：××（英文：××）,是
02013000,去骨肉,7,厂号,厂号：××,是
02013000,去骨肉,8,级别（A级、B级等）,A级,是
02013000,去骨肉,9,饲养方式（草饲、谷饲等）,草饲,是
02013000,去骨肉,10,签约日期,20201012,是
02013000,去骨肉,11,加工程度（精修、粗修等）,精修,是
02021000,整头及半头,1,制作或保存方法（冻）,冷冻,是
02021000,整头及半头,2,状态（整头、半头）,带骨,是
02021000,整头及半头,3,牛肉部位（如眼肉、腱子肉等）,腱子肉,是
02021000,整头及半头,4,包装规格,10千克/箱,是
02021000,整头及半头,5,英文品名,Frozen beef with bones and wild,是
02021000,整头及半头,6,品牌（中文或外文名称）,中文：××（英文：××）,是
02021000,整头及半头,7,厂号,厂号：××,是
02021000,整头及半头,8,级别（A级、B级等）,A级,是
02021000,整头及半头,9,饲养方式（草饲、谷饲等）,草饲,是
02021000,整头及半头,10,签约日期,20201012,是
02021000,整头及半头,11,加工程度（精修、粗修等）,精修,是
02022000,带骨肉,1,制作或保存方法（冻）,冷冻,是
02022000,带骨肉,2,加工方法（带骨、去骨）,带骨,是
02022000,带骨肉,3,牛肉部位（如眼肉、腱子肉等）,腱子肉,是
02022000,带骨肉,4,包装规格,10千克/箱,是
02022000,带骨肉,5,英文品名,Frozen beef with bones and wild,是
02022000,带骨肉,6,品牌（中文或外文名称）,中文：××（英文：××）,是
02022000,带骨肉,7,厂号,厂号：××,是
02022000,带骨肉,8,级别（A级、B级等）,A级,是
02022000,带骨肉,9,饲养方式（草饲、谷饲等）,草饲,是
02022000,带骨肉,10,签约日期,20201012,是
02022000,带骨肉,11,加工程度（精修、粗修等）,精修,是
02023000,去骨肉,1,制作或保存方法（冻）,冷冻,是
02023000,去骨肉,2,加工方法（带骨、去骨）,带骨,是
02023000,去骨肉,3,牛肉部位（如眼肉、腱子肉等）,腱子肉,是
02023000,去骨肉,4,包装规格,10千克/箱,是
02023000,去骨肉,5,英文品名,Frozen beef with bones and wild,是
02023000,去骨肉,6,品牌（中文或外文名称）,中文：××（英文：××）,是
02023000,去骨肉,7,厂号,厂号：××,是
02023000,去骨肉,8,级别（A级、B级等）,A级,是
02023000,去骨肉,9,饲养方式（草饲、谷饲等）,草饲,是
02023000,去骨肉,10,签约日期,20201012,是
02023000,去骨肉,11,加工程度（精修、粗修等）,精修,是
02031110,乳猪,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02031110,乳猪,2,状态（整头、半头）,去骨,是
02031110,乳猪,3,包装规格,10千克/箱,是
02031110,乳猪,4,厂号,厂号：××,是
02031190,其他,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02031190,其他,2,状态（整头、半头）,去骨,是
02031190,其他,3,包装规格,10千克/箱,是
02031190,其他,4,厂号,厂号：××,是
02031200,带骨的前腿、后腿及其肉块,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02031200,带骨的前腿、后腿及其肉块,2,加工方法（带骨、去骨）,去骨,是
02031200,带骨的前腿、后腿及其肉块,3,包装规格,10千克/箱,是
02031200,带骨的前腿、后腿及其肉块,4,厂号,厂号：××,是
02031900,其他,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02031900,其他,2,加工方法（带骨、去骨）,去骨,是
02031900,其他,3,包装规格,10千克/箱,是
02031900,其他,4,厂号,厂号：××,是
02032110,乳猪,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02032110,乳猪,2,状态（整头、半头）,去骨,是
02032110,乳猪,3,包装规格,10千克/箱,是
02032110,乳猪,4,厂号,厂号：××,是
02032190,其他,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02032190,其他,2,状态（整头、半头）,去骨,是
02032190,其他,3,包装规格,10千克/箱,是
02032190,其他,4,厂号,厂号：××,是
02041000,鲜或冷的整头及半头羔羊,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02041000,鲜或冷的整头及半头羔羊,2,状态（整头、半头）,带骨,是
02041000,鲜或冷的整头及半头羔羊,3,包装规格,10千克/箱,是
02041000,鲜或冷的整头及半头羔羊,4,厂号,厂号：××,是
02042100,整头及半头,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02042100,整头及半头,2,状态（整头、半头）,带骨,是
02042100,整头及半头,3,包装规格,10千克/箱,是
02042100,整头及半头,4,厂号,厂号：××,是
02042200,带骨肉,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02042200,带骨肉,2,加工方法（带骨、去骨）,带骨,是
02042200,带骨肉,3,包装规格,10千克/箱,是
02042200,带骨肉,4,厂号,厂号：××,是
02042300,去骨肉,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02042300,去骨肉,2,加工方法（带骨、去骨）,带骨,是
02042300,去骨肉,3,包装规格,10千克/箱,是
02042300,去骨肉,4,厂号,厂号：××,是
02043000,冻的整头及半头羔羊,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02043000,冻的整头及半头羔羊,2,状态（整头、半头）,带骨,是
02043000,冻的整头及半头羔羊,3,包装规格,10千克/箱,是
02043000,冻的整头及半头羔羊,4,厂号,厂号：××,是
02044100,整头及半头,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02044100,整头及半头,2,状态（整头、半头）,带骨,是
02044100,整头及半头,3,包装规格,10千克/箱,是
02044100,整头及半头,4,厂号,厂号：××,是
02044200,带骨肉,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02044200,带骨肉,2,加工方法（带骨、去骨）,带骨,是
02044200,带骨肉,3,包装规格,10千克/箱,是
02044200,带骨肉,4,厂号,厂号：××,是
02044300,去骨肉,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02044300,去骨肉,2,加工方法（带骨、去骨）,带骨,是
02044300,去骨肉,3,包装规格,10千克/箱,是
02044300,去骨肉,4,厂号,厂号：××,是
02045000,山羊肉,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02045000,山羊肉,2,包装规格,带骨,是
02045000,山羊肉,3,厂号,10千克/箱,是
02050000,鲜、冷、冻马、驴、骡肉,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02050000,鲜、冷、冻马、驴、骡肉,2,包装规格,10千克/箱,是
02050000,鲜、冷、冻马、驴、骡肉,3,厂号,厂号：××,是
02061000,鲜、冷牛杂碎,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02061000,鲜、冷牛杂碎,2,种类（舌、肝、心管、板筋等）,舌,是
02061000,鲜、冷牛杂碎,3,包装规格,10千克/箱,是
02061000,鲜、冷牛杂碎,4,厂号,厂号：××,是
02062100,舌,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02062100,舌,2,种类（舌、肝、心管、板筋等）,舌,是
02062100,舌,3,包装规格,10千克/箱,是
02062100,舌,4,厂号,厂号：××,是
02062200,肝,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02062200,肝,2,种类（舌、肝、心管、板筋等）,舌,是
02062200,肝,3,包装规格,10千克/箱,是
02062200,肝,4,厂号,厂号：××,是
02062900,其他,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02062900,其他,2,种类（舌、肝、心管、板筋等）,舌,是
02062900,其他,3,包装规格,10千克/箱,是
02062900,其他,4,厂号,厂号：××,是
02063000,鲜、冷猪杂碎,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02063000,鲜、冷猪杂碎,2,种类（舌、肝、心管、板筋等）,舌,是
02063000,鲜、冷猪杂碎,3,包装规格,10千克/箱,是
02063000,鲜、冷猪杂碎,4,厂号,厂号：××,是
02064100,肝,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02064100,肝,2,种类（舌、肝、心管、板筋等）,舌,是
02064100,肝,3,包装规格,10千克/箱,是
02064100,肝,4,厂号,厂号：××,是
02064900,其他,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02064900,其他,2,种类（舌、肝、心管、板筋等）,舌,是
02064900,其他,3,包装规格,10千克/箱,是
02064900,其他,4,厂号,厂号：××,是
02068000,其他鲜或冷杂碎,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02068000,其他鲜或冷杂碎,2,种类（舌、肝、心管、板筋等）,舌,是
02068000,其他鲜或冷杂碎,3,包装规格,10千克/箱,是
02068000,其他鲜或冷杂碎,4,厂号,厂号：××,是
02069000,其他冻杂碎,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02069000,其他冻杂碎,2,种类（舌、肝、心管、板筋等）,舌,是
02069000,其他冻杂碎,3,包装规格,10千克/箱,是
02069000,其他冻杂碎,4,厂号,厂号：××,是
02071100,整只，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02071100,整只，鲜或冷的,2,加工方法（整只、带骨或去骨等）,整只,是
02071100,整只，鲜或冷的,3,厂号,厂号：××,是
02071100,整只，鲜或冷的,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071311,带骨的,1,制作或保存方法（鲜、冷）,保鲜,是
02071311,带骨的,2,加工方法（带骨、去骨）,带骨,是
02071311,带骨的,3,厂号,厂号：××,是
02071311,带骨的,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071319,其他,1,制作或保存方法（鲜、冷）,保鲜,是
02071319,其他,2,加工方法（带骨、去骨）,带骨,是
02071319,其他,3,厂号,厂号：××,是
02071319,其他,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071321,翼（不包括翼尖）,1,制作或保存方法（鲜、冷）,保鲜,是
02071321,翼（不包括翼尖）,2,加工方法（带骨、去骨）,带骨,是
02071321,翼（不包括翼尖）,3,厂号,厂号：××,是
02071321,翼（不包括翼尖）,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071329,其他,1,制作或保存方法（鲜、冷）,保鲜,是
02071329,其他,2,加工方法（带骨、去骨）,带骨,是
02071329,其他,3,厂号,厂号：××,是
02071329,其他,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071411,带骨的,1,制作或保存方法（冻）,冷冻,是
02071411,带骨的,2,加工方法（带骨、去骨）,带骨,是
02071411,带骨的,3,厂号,厂号：××,是
02071411,带骨的,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071421,翼（不包括翼尖）,1,制作或保存方法（冻）,冷冻,是
02071421,翼（不包括翼尖）,2,加工方法（带骨、去骨）,带骨,是
02071421,翼（不包括翼尖）,3,厂号,厂号：××,是
02071421,翼（不包括翼尖）,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071422,鸡爪,1,制作或保存方法（冻）,冷冻,是
02071422,鸡爪,2,加工方法（带骨、去骨）,带骨,是
02071422,鸡爪,3,厂号,厂号：××,是
02071422,鸡爪,4,品牌（中文或外文名称）,中文：××（英文：××）,是
02071422,鸡爪,5,规格（个体重量）,25-35克/个,是
02071429,其他,1,制作或保存方法（冻）,冷冻,是
02071429,其他,2,加工方法（带骨、去骨）,整个,是
02071429,其他,3,种类（心、肝等）,心,是
02071429,其他,4,厂号,厂号：××,是
02071429,其他,5,品牌（中文或外文名称）,中文：××（英文：××）,是
02072400,整只，鲜或冷的,1,制作或保存方法（鲜、冷）,冷藏,是
02072400,整只，鲜或冷的,2,加工方法（整只、带骨或去骨等）,整只,是
02072500,整只，冻的,1,制作或保存方法（冻）,冷冻,是
02072500,整只，冻的,2,加工方法（整只、带骨或去骨等）,整只,是
02072600,块及杂碎，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02072600,块及杂碎，鲜或冷的,2,加工方法（带骨、去骨）,整个,是
02072600,块及杂碎，鲜或冷的,3,杂碎请列明具体种类,心,是
02072700,块及杂碎，冻的,1,制作或保存方法（冻）,冷冻,是
02072700,块及杂碎，冻的,2,加工方法（带骨、去骨）,整个,是
02072700,块及杂碎，冻的,3,杂碎请列明具体种类,心,是
02072700,块及杂碎，冻的,4,厂号,厂号：××,是
02072700,块及杂碎，冻的,5,品牌（中文或外文名称）,中文：××（英文：××）,是
02072700,块及杂碎，冻的,6,英文品名,Frozen Turkey Heart,是
02074100,整只，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02074100,整只，鲜或冷的,2,加工方法（整只）,整只,是
02074100,整只，鲜或冷的,3,厂号,,是
02074200,整只，冻的,1,制作或保存方法（冻）,冷冻,是
02074200,整只，冻的,2,加工方法（整只）,整只,是
02074200,整只，冻的,3,厂号,,是
02074300,肥肝，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02074300,肥肝，鲜或冷的,2,厂号,,是
02074400,其他，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02074400,其他，鲜或冷的,2,加工方法（带骨或去骨等）,整个,是
02074400,其他，鲜或冷的,3,杂碎请列明具体种类,心,是
02074400,其他，鲜或冷的,4,厂号,,是
02074500,其他，冻的,1,制作或保存方法（冻）,冷冻,是
02074500,其他，冻的,2,加工方法（带骨或去骨等）,整个,是
02074500,其他，冻的,3,杂碎请列明具体种类,心,是
02074500,其他，冻的,4,厂号,,是
02075100,整只，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02075100,整只，鲜或冷的,2,加工方法（整只）,整只,是
02075100,整只，鲜或冷的,3,厂号,,是
02075200,整只，冻的,1,制作或保存方法（冻）,冷冻,是
02075200,整只，冻的,2,加工方法（整只）,整只,是
02075200,整只，冻的,3,厂号,,是
02075300,肥肝，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02075300,肥肝，鲜或冷的,2,厂号,,是
02075400,其他，鲜或冷的,1,制作或保存方法（鲜、冷）,保鲜,是
02075400,其他，鲜或冷的,2,加工方法（带骨或去骨等）,整个,是
02075400,其他，鲜或冷的,3,杂碎请列明具体种类,心,是
02075400,其他，鲜或冷的,4,厂号,,是
02075500,其他，冻的,1,制作或保存方法（冻）,冷冻,是
02075500,其他，冻的,2,加工方法（带骨或去骨等）,整个,是
02075500,其他，冻的,3,杂碎请列明具体种类,肝,是
02075500,其他，冻的,4,厂号,,是
02076000,珍珠鸡,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02076000,珍珠鸡,2,加工方法（整只、带骨或去骨等）,整个,是
02076000,珍珠鸡,3,杂碎请列明具体种类,心,是
02076000,珍珠鸡,4,厂号,,是
02081010,鲜、冷兔肉，兔头除外,1,制作或保存方法（鲜、冷）,保鲜,是
02081010,鲜、冷兔肉，兔头除外,2,包装规格,10千克/箱,是
02081010,鲜、冷兔肉，兔头除外,3,厂号,,是
02081020,冻兔肉，兔头除外,1,制作或保存方法（冻）,冷冻,是
02081020,冻兔肉，兔头除外,2,包装规格,10千克/箱,是
02081020,冻兔肉，兔头除外,3,厂号,,是
02081090,其他,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02081090,其他,2,用途（食用）,肝，食用,是
02081090,其他,3,杂碎请列明具体种类,10千克/箱,是
02081090,其他,4,包装规格,,是
02081090,其他,5,厂号,,是
02083000,灵长目的,1,制作或保存方法（鲜、冷、冻）,鲜,是
02083000,灵长目的,2,用途（食用）,脑，药用,是
02083000,灵长目的,3,杂碎请列明具体种类,300克/罐,是
02083000,灵长目的,4,包装规格,,是
02083000,灵长目的,5,厂号,,是
02084000,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,1,制作或保存方法（鲜、冷、冻）,冷藏,是
02084000,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,2,用途（食用）,肝，食用,是
02084000,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,3,杂碎请列明具体种类,10千克/箱,是
02084000,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,4,包装规格,,是
02084000,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,5,厂号,,是
02085000,爬行动物（包括蛇及龟鳖）的,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02085000,爬行动物（包括蛇及龟鳖）的,2,用途（食用）,肝，食用,是
02085000,爬行动物（包括蛇及龟鳖）的,3,杂碎请列明具体种类,400克/盒,是
02085000,爬行动物（包括蛇及龟鳖）的,4,包装规格,,是
02085000,爬行动物（包括蛇及龟鳖）的,5,厂号,,是
02086000,骆驼及其他骆驼科动物的,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02086000,骆驼及其他骆驼科动物的,2,用途（食用）,肝，食用,是
02086000,骆驼及其他骆驼科动物的,3,杂碎请列明具体种类,10千克/箱,是
02086000,骆驼及其他骆驼科动物的,4,包装规格,,是
02086000,骆驼及其他骆驼科动物的,5,厂号,,是
02089010,乳鸽的,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02089010,乳鸽的,2,用途（食用）,肝，食用,是
02089010,乳鸽的,3,杂碎请列明具体种类,10千克/箱,是
02089010,乳鸽的,4,包装规格,,是
02089010,乳鸽的,5,厂号,,是
02089090,其他,1,制作或保存方法（鲜、冷、冻）,冷冻,是
02089090,其他,2,用途（食用）,肝，食用,是
02089090,其他,3,杂碎请列明具体种类,10千克/箱,是
02089090,其他,4,包装规格,,是
02089090,其他,5,厂号,,是
02091000,猪的,1,制作或保存方法（未炼制、未提取脂肪，干、熏、盐腌、盐渍等）,未炼制，冻,是
02091000,猪的,2,厂号,,是
02099000,其他,1,制作或保存方法（未炼制、未提取脂肪，干、熏、盐腌、盐渍等）,未炼制，冻,是
02099000,其他,2,厂号,,是
02101110,带骨的腿,1,"部位（腿肉、腹肉等）,是否带骨",腹肉，不带骨,是
02101110,带骨的腿,2,制作或保存方法（干、熏、盐腌、盐渍等）,盐腌,是
02101110,带骨的腿,3,加工方法（带骨、去骨）,去骨,是
02101110,带骨的腿,4,厂号,,是
02101190,其他,1,"部位（腿肉、腹肉等）,是否带骨",腹肉，不带骨,是
02101190,其他,2,制作或保存方法（干、熏、盐腌、盐渍等）,盐腌,是
02101190,其他,3,加工方法（带骨、去骨）,去骨,是
02101190,其他,4,厂号,,是
02101200,腹肉（五花肉）,1,"部位（腿肉、腹肉等）,是否带骨",腹肉，不带骨,是
02101200,腹肉（五花肉）,2,制作或保存方法（干、熏、盐腌、盐渍等）,盐腌,是
02101200,腹肉（五花肉）,3,加工方法（带骨、去骨）,去骨,是
02101200,腹肉（五花肉）,4,厂号,,是
02101900,其他,1,"部位（腿肉、腹肉等）,是否带骨",腹肉，不带骨,是
02101900,其他,2,制作或保存方法（干、熏、盐腌、盐渍等）,盐腌,是
02101900,其他,3,加工方法（带骨、去骨）,去骨,是
02101900,其他,4,厂号,,是
02102000,牛肉,1,制作或保存方法（干、熏、盐腌、盐渍等）,干制,是
02102000,牛肉,2,厂号,,是
02109100,灵长目的,1,用途,食用,是
02109100,灵长目的,2,制作或保存方法（干、熏、盐腌、盐渍等）,熏,是
02109100,灵长目的,3,杂碎请列明具体种类,肝,是
02109100,灵长目的,4,厂号,,是
02109200,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,1,用途,食用,是
02109200,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,2,制作或保存方法（干、熏、盐腌、盐渍等）,熏,是
02109200,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,3,杂碎请列明具体种类,肝,是
02109200,鲸、海豚及鼠海豚（鲸目哺乳动物）的；海牛及儒艮（海牛目哺乳动物）的；海豹、海狮及海象（鳍足亚目哺乳动物）的,4,厂号,,是
02109300,爬行动物（包括蛇及龟鳖）的,1,用途,食用,是
02109300,爬行动物（包括蛇及龟鳖）的,2,制作或保存方法（干、熏、盐腌、盐渍等）,熏,是
02109300,爬行动物（包括蛇及龟鳖）的,3,杂碎请列明具体种类,肝,是
02109300,爬行动物（包括蛇及龟鳖）的,4,厂号,,是
02109900,其他,1,用途,食用,是
02109900,其他,2,制作或保存方法（干、熏、盐腌、盐渍等）,熏,是
02109900,其他,3,杂碎请列明具体种类,肝,是
02109900,其他,4,厂号,,是
03011100,淡水鱼,1,用途（观赏用）,观赏用,是
03011100,淡水鱼,2,状态（活）,活,是
03011100,淡水鱼,3,拉丁学名,Carassius auratus,是
03011900,其他,1,用途（观赏用）,观赏用,是
03011900,其他,2,状态（活）,活,是
03011900,其他,3,拉丁学名,Carassius auratus,是
03019190,其他,1,状态（活）,活,是
03019190,其他,2,拉丁学名,Salmonidae,是
03019210,鱼苗,1,状态（活）,活,是
03019210,鱼苗,2,是否为鱼苗,鱼苗,是
03019210,鱼苗,3,拉丁学名,Anguilla japonica,是
03019290,其他,1,状态（活）,活,是
03019290,其他,2,拉丁学名,Anguilla japonica,是
03019390,其他,1,状态（活）,活,是
03019390,其他,2,拉丁学名,HippuriOccidentalium,是
03019491,大西洋蓝鳍金枪鱼,1,状态（活）,活,是
03019491,大西洋蓝鳍金枪鱼,2,拉丁学名,Atlanticbluefintuna,是
03019492,太平洋蓝鳍金枪鱼,1,状态（活）,活,是
03019492,太平洋蓝鳍金枪鱼,2,拉丁学名,Atlanticbluefintuna,是
03019590,其他,1,状态（活）,活,是
03019590,其他,2,拉丁学名,AustraliBluefintuna,是
03019912,鲟鱼,1,状态（活）,活,是
03019912,鲟鱼,2,是否为鱼苗,鱼苗,是
03019912,鲟鱼,3,拉丁学名,virgatisbass,是
03019919,其他,1,状态（活）,活,是
03019919,其他,2,是否为鱼苗,鱼苗,是
03019919,其他,3,拉丁学名,virgatisbass,是
03019991,罗非鱼,1,状态（活）,活,是
03019991,罗非鱼,2,拉丁学名,Puffer,是
03019992,鲀,1,状态（活）,活,是
03019992,鲀,2,拉丁学名,Puffer,是
03019993,其他鲤科鱼,1,状态（活）,活,是
03019993,其他鲤科鱼,2,拉丁学名,Puffer,是
03019999,其他,1,状态（活）,活,是
03019999,其他,2,拉丁学名,Puffer,是
03021100,鳟鱼（河鳟、虹鳟、克拉克大麻哈鱼、阿瓜大麻哈鱼、吉雨大麻哈鱼、亚利桑那大麻哈鱼、金腹大麻哈鱼）,1,制作或保存方法（鲜、冷）,鲜,是
